Data;Atsak_;IP adresas;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas aikšt_je priešais Filharmonij_?;Ar pritariate, kad  dr. J. Basanavi_iaus paminklas b_t_ pastatytas K. Sirvydo skvere?
27/09/15 14:41;---;212.122.69.182;Nepritariu;Pritariu
27/09/15 14:35;---;78.63.237.75;Nepritariu;Nepritariu
27/09/15 14:31;---;78.60.121.116;Nepritariu;Pritariu
27/09/15 14:30;---;79.132.170.42;Nepritariu;Pritariu
27/09/15 14:24;---;89.116.219.16;Neturiu nuomon_s;Pritariu
27/09/15 13:46;---;84.240.33.220;Pritariu;Nepritariu
27/09/15 13:46;---;79.133.228.225;Pritariu;Neturiu nuomon_s
27/09/15 13:40;---;89.117.250.148;Neturiu nuomon_s;Nepritariu
27/09/15 13:10;---;78.60.186.222;Nepritariu;Pritariu
27/09/15 12:57;---;78.60.174.31;Pritariu;Nepritariu
27/09/15 12:34;---;86.100.205.224;Nepritariu;Pritariu
27/09/15 12:32;---;78.56.119.252;Pritariu;Nepritariu
27/09/15 12:20;---;95.173.32.24;Pritariu;Neturiu nuomon_s
27/09/15 12:18;---;78.56.132.129;Pritariu;Pritariu
27/09/15 11:56;---;78.158.9.144;Pritariu;Nepritariu
27/09/15 11:50;---;158.129.69.51;Pritariu;Nepritariu
27/09/15 11:48;---;78.61.203.136;Pritariu;Pritariu
27/09/15 11:46;---;78.63.199.6;Pritariu;Neturiu nuomon_s
27/09/15 11:45;---;78.60.165.198;Pritariu;Pritariu
27/09/15 11:45;---;78.60.199.217;Pritariu;Nepritariu
27/09/15 11:39;---;78.56.4.66;Nepritariu;Pritariu
27/09/15 11:25;---;78.56.65.19;Pritariu;Pritariu
27/09/15 11:23;---;86.100.225.174;Pritariu;Nepritariu
27/09/15 11:08;---;78.60.70.184;Nepritariu;Pritariu
27/09/15 11:00;---;78.56.143.41;Pritariu;Nepritariu
27/09/15 10:59;---;185.26.182.25;Nepritariu;Nepritariu
27/09/15 10:30;---;79.133.250.115;Nepritariu;Pritariu
27/09/15 10:29;---;78.56.116.200;Pritariu;Nepritariu
27/09/15 10:05;---;78.60.80.134;Pritariu;Nepritariu
27/09/15 10:04;---;78.56.140.111;Pritariu;Neturiu nuomon_s
27/09/15 09:36;---;154.46.115.14;Pritariu;Nepritariu
27/09/15 09:36;---;78.61.194.56;Nepritariu;Pritariu
